Cell_Designation,Time_Point,Polarity_Patch_Number,Polarity_Patch_Number_2
rcc096_1_s1_h,23,0,0
rcc096_1_s1_h,24,0,0
rcc096_1_s1_h,25,0,0
rcc096_1_s1_h,26,1,1
rcc096_1_s1_h,27,0,0
rcc096_1_s1_h,28,0,0
rcc096_1_s1_h,29,2,2
rcc096_1_s1_h,30,2,2
rcc096_1_s1_h,31,0,0
rcc096_1_s1_h,32,1,1
rcc096_1_s1_h,33,2,2
rcc096_1_s1_h,34,1,1
rcc096_1_s1_h,35,0,0
rcc096_1_s1_h,36,1,1
rcc096_1_s1_h,37,1,Committed
rcc096_1_s1_h,38,1,Committed
rcc096_1_s1_h,39,1,Committed
rcc096_1_s1_h,40,1,Committed
rcc096_1_s1_h,41,1,Committed
rcc096_1_s1_h,42,1,Committed
rcc096_1_s1_h,43,1,Committed
rcc096_1_s1_h,44,1,Committed
rcc096_1_s1_h,45,1,Committed
rcc096_1_s1_h,46,1,Committed
rcc096_1_s1_h,47,1,Committed
rcc096_1_s1_h,48,NA,Fusion
rcc096_1_s1_h,49,NA,Fusion
rcc096_1_s1_h,50,NA,Fusion
rcc096_1_s1_h,51,NA,Fusion
rcc096_1_s1_h,52,NA,Fusion
rcc096_1_s1_h,53,NA,Fusion
rcc096_1_s1_h,54,NA,Fusion
rcc096_1_s1_h,55,NA,Fusion
rcc096_1_s1_h,56,NA,Fusion
rcc096_1_s1_h,57,NA,Fusion
rcc096_1_s1_h,58,NA,Fusion
rcc096_1_s1_h,59,NA,Fusion
rcc096_1_s1_h,60,NA,Fusion
rcc096_1_s1_h,61,NA,Fusion
rcc096_1_s1_i,1,NA,Birth
rcc096_1_s1_i,2,NA,Birth
rcc096_1_s1_i,3,NA,Birth
rcc096_1_s1_i,4,NA,Birth
rcc096_1_s1_i,5,NA,Birth
rcc096_1_s1_i,6,NA,Birth
rcc096_1_s1_i,7,NA,Birth
rcc096_1_s1_i,8,NA,Birth
rcc096_1_s1_i,9,NA,Birth
rcc096_1_s1_i,10,NA,Birth
rcc096_1_s1_i,11,NA,Birth
rcc096_1_s1_i,12,NA,Birth
rcc096_1_s1_i,13,NA,Birth
rcc096_1_s1_i,14,NA,Birth
rcc096_1_s1_i,15,NA,Birth
rcc096_1_s1_i,16,NA,Birth
rcc096_1_s1_i,17,NA,Birth
rcc096_1_s1_i,18,NA,Birth
rcc096_1_s1_i,19,NA,Birth
rcc096_1_s1_i,20,NA,Birth
rcc096_1_s1_i,21,0,0
rcc096_1_s1_i,22,0,0
rcc096_1_s1_i,23,0,0
rcc096_1_s1_i,24,1,1
rcc096_1_s1_i,25,0,0
rcc096_1_s1_i,26,0,0
rcc096_1_s1_i,27,0,0
rcc096_1_s1_i,28,0,0
rcc096_1_s1_i,29,1,1
rcc096_1_s1_i,30,2,2
rcc096_1_s1_i,31,2,2
rcc096_1_s1_i,32,2,2
rcc096_1_s1_i,33,0,0
rcc096_1_s1_i,34,2,2
rcc096_1_s1_i,35,1,1
rcc096_1_s1_i,36,1,1
rcc096_1_s1_i,37,1,1
rcc096_1_s1_i,38,0,0
rcc096_1_s1_i,39,0,0
rcc096_1_s1_i,40,0,0
rcc096_1_s1_i,41,0,0
rcc096_1_s1_i,42,2,2
rcc096_1_s1_i,43,1,1
rcc096_1_s1_i,44,0,0
rcc096_1_s1_i,45,0,0
rcc096_1_s1_i,46,2,2
rcc096_1_s1_i,47,1,1
rcc096_1_s1_i,48,0,0
rcc096_1_s1_i,49,1,1
rcc096_1_s1_i,50,1,1
rcc096_1_s1_i,51,1,1
rcc096_1_s1_i,52,1,1
rcc096_1_s1_i,53,1,1
rcc096_1_s1_i,54,1,1
rcc096_1_s1_i,55,1,1
rcc096_1_s1_i,56,1,1
rcc096_1_s1_i,57,1,1
rcc096_1_s1_i,58,2,2
rcc096_1_s1_i,59,2,2
rcc096_1_s1_i,60,1,1
rcc096_1_s1_i,61,1,1
rcc096_1_s1_j,1,NA,Birth
rcc096_1_s1_j,2,NA,Birth
rcc096_1_s1_j,3,NA,Birth
rcc096_1_s1_j,4,NA,Birth
rcc096_1_s1_j,5,NA,Birth
rcc096_1_s1_j,6,NA,Birth
rcc096_1_s1_j,7,NA,Birth
rcc096_1_s1_j,8,NA,Birth
rcc096_1_s1_j,9,NA,Birth
rcc096_1_s1_j,10,NA,Birth
rcc096_1_s1_j,11,NA,Birth
rcc096_1_s1_j,12,NA,Birth
rcc096_1_s1_j,13,NA,Birth
rcc096_1_s1_j,14,NA,Birth
rcc096_1_s1_j,15,NA,Birth
rcc096_1_s1_j,16,NA,Birth
rcc096_1_s1_j,17,NA,Birth
rcc096_1_s1_j,18,NA,Birth
rcc096_1_s1_j,19,NA,Birth
rcc096_1_s1_j,20,NA,Birth
rcc096_1_s1_j,21,NA,Birth
rcc096_1_s1_j,22,NA,Birth
rcc096_1_s1_j,23,NA,Birth
rcc096_1_s1_j,24,NA,Birth
rcc096_1_s1_j,25,NA,Birth
rcc096_1_s1_j,26,NA,Birth
rcc096_1_s1_j,27,NA,Birth
rcc096_1_s1_j,28,NA,Birth
rcc096_1_s1_j,29,NA,Birth
rcc096_1_s1_j,30,NA,Birth
rcc096_1_s1_j,31,NA,Birth
rcc096_1_s1_j,32,NA,Birth
rcc096_1_s1_j,33,NA,Birth
rcc096_1_s1_j,34,NA,Birth
